"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"2851",2851,"00187294DB","152","WEIGHT_3",9.2,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.07304271759732,"15",2021-09-29,0.886156658399299,0.00399263555541796
"2852",2852,"00187294DB","152","WEIGHT_4",18.3,"LENGTH_4",118,"T4","2021-11-04","Day_in_Exp_T4",98,1.1137944970031,"15",2021-11-04,0.903015276009248,0.0161298340658227
"2853",2853,"00187294DB","152","WEIGHT_5",29.8,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.08600583090379,"15",2021-12-09,0.867783271801283,-0.0214788392424001
"2854",2854,"00187294DB","152","WEIGHT_6",43.6,"LENGTH_6",160,"T6","2022-01-06","Day_in_Exp_T6",161,1.064453125,"15",2022-01-06,0.840961943292072,-0.038359364528731
"2857",2857,"00187294DC","201","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"20",2021-07-29,0.923417645305036,-0.00358342718498217
"2858",2858,"00187294DC","201","WEIGHT_2",5.4,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,1.13791533909877,"20",2021-08-30,0.955612694884437,-0.0253045949784473
"2859",2859,"00187294DC","201","WEIGHT_3",8.7,"LENGTH_3",90,"T3","2021-09-29","Day_in_Exp_T3",62,1.19341563786008,"20",2021-09-29,0.990104674689038,0.0628755694356834
"2860",2860,"00187294DC","201","WEIGHT_4",11.4,"LENGTH_4",98,"T4","2021-11-04","Day_in_Exp_T4",98,1.21123001470476,"20",2021-11-04,0.997636678628168,0.00902337832379041
"2861",2861,"00187294DC","201","WEIGHT_5",24.2,"LENGTH_5",126,"T5","2021-12-09","Day_in_Exp_T5",133,1.2097725627582,"20",2021-12-09,0.975376379802799,0.00234293175737943
"2865",2865,"00187294DD","202","WEIGHT_1",3.7,"LENGTH_1",73,"T1","2021-07-29","Day_in_Exp_T1",0,0.951115246891524,"20",2021-07-29,0.803249937802976,-0.0308740777297917
"2866",2866,"00187294DD","202","WEIGHT_2",7.7,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.0562414266118,"20",2021-08-30,0.876299539667309,-0.0117406932383253
"2867",2867,"00187294DD","202","WEIGHT_3",7,"LENGTH_3",90,"T3","2021-09-29","Day_in_Exp_T3",62,0.960219478737997,"20",2021-09-29,0.796635945152099,-0.0377161031440049
"2868",2868,"00187294DD","202","WEIGHT_4",12.6,"LENGTH_4",109,"T4","2021-11-04","Day_in_Exp_T4",98,0.972951184876941,"20",2021-11-04,0.794163273419841,-0.101572969927286
"2869",2869,"00187294DD","202","WEIGHT_5",21.4,"LENGTH_5",127,"T5","2021-12-09","Day_in_Exp_T5",133,1.04472649890182,"20",2021-12-09,0.841742575055936,-0.0384138160322327
"2870",2870,"00187294DD","202","WEIGHT_6",35.1,"LENGTH_6",148,"T6","2022-01-06","Day_in_Exp_T6",161,1.08273448759205,"20",2022-01-06,0.861092337160534,-0.00829728917981187
"2872",2872,"00187294DD","202","WEIGHT_8",72.5,"LENGTH_8",187,"T8","2022-03-30","Day_in_Exp_T8",244,1.1086978030809,"20",2022-03-30,0.86438386274341,0.00174722397064997
"2873",2873,"00187294E0","151","WEIGHT_1",2.1,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.02249986610121,"15",2021-07-29,0.879307624225407,-0.0800805156599508
"2874",2874,"00187294E0","151","WEIGHT_2",6.2,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.12447584916063,"15",2021-08-30,0.940320609546976,-0.00714149361577432
"2875",2875,"00187294E0","151","WEIGHT_3",16.5,"LENGTH_3",113,"T3","2021-09-29","Day_in_Exp_T3",62,1.1435327677582,"15",2021-09-29,0.930544070410849,-0.0201793681112872
"2876",2876,"00187294E0","151","WEIGHT_4",37.3,"LENGTH_4",145,"T4","2021-11-04","Day_in_Exp_T4",98,1.22350239862233,"15",2021-11-04,0.974739453531525,0.0192945959098446
"2877",2877,"00187294E0","151","WEIGHT_5",78.1,"LENGTH_5",185,"T5","2021-12-09","Day_in_Exp_T5",133,1.23349061259945,"15",2021-12-09,0.962556545815843,0.00473501909390495
"2878",2878,"00187294E0","151","WEIGHT_6",129.8,"LENGTH_6",216,"T6","2022-01-06","Day_in_Exp_T6",161,1.28799281105523,"15",2022-01-06,0.991938781736264,0.0440580582372064
"2880",2880,"00187294E0","151","WEIGHT_8",346.2,"LENGTH_8",288,"T8","2022-03-30","Day_in_Exp_T8",244,1.44927099408436,"15",2022-03-30,1.08918396445815,0.153737400784412
"2881",2881,"00187294E2","152","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,0.0155667188818137
"2882",2882,"00187294E2","152","WEIGHT_2",4.5,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.02511299023181,"15",2021-08-30,0.862784991150611,0.0156443155918805
"2883",2883,"00187294E2","152","WEIGHT_3",10.2,"LENGTH_3",100,"T3","2021-09-29","Day_in_Exp_T3",62,1.02,"15",2021-09-29,0.838687502946013,-0.0117145079721036
"2884",2884,"00187294E2","152","WEIGHT_4",17.6,"LENGTH_4",121,"T4","2021-11-04","Day_in_Exp_T4",98,0.993474116894648,"15",2021-11-04,0.803747805912734,-0.0513756241049269
"2885",2885,"00187294E2","152","WEIGHT_5",32.3,"LENGTH_5",149,"T5","2021-12-09","Day_in_Exp_T5",133,0.976435851943304,"15",2021-12-09,0.77610929415089,-0.0813908049670288
"2886",2886,"00187294E2","152","WEIGHT_6",53.4,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,0.996384839650146,"15",2022-01-06,0.781211947972313,-0.0663473479227242
"2889",2889,"00187294E5","152","WEIGHT_1",3.2,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.11305896429863,"15",2021-07-29,0.948106092118706,0.0388248424538712
"2890",2890,"00187294E5","152","WEIGHT_2",7.5,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.10055879038317,"15",2021-08-30,0.914812773062141,0.0174575601199135
"2891",2891,"00187294E5","152","WEIGHT_3",18.3,"LENGTH_3",120,"T3","2021-09-29","Day_in_Exp_T3",62,1.05902777777778,"15",2021-09-29,0.857387101420935,-0.043229446880679
"2892",2892,"00187294E5","152","WEIGHT_4",38.5,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.11822677697127,"15",2021-11-04,0.887803488329858,-0.0175344790713003
"2893",2893,"00187294E5","152","WEIGHT_5",74.3,"LENGTH_5",186,"T5","2021-12-09","Day_in_Exp_T5",133,1.1546489929223,"15",2021-12-09,0.900619572329148,-0.00709506417226813
"2894",2894,"00187294E5","152","WEIGHT_6",112.6,"LENGTH_6",215,"T6","2022-01-06","Day_in_Exp_T6",161,1.13298200158477,"15",2022-01-06,0.872902508759498,-0.0248713245190367
"2896",2896,"00187294E5","152","WEIGHT_8",247.9,"LENGTH_8",276,"T8","2022-03-30","Day_in_Exp_T8",244,1.17909631090777,"15",2022-03-30,0.889348564891845,0.00400889143863403
"2897",2897,"00187294E7","202","WEIGHT_1",3.2,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.01770812131081,"20",2021-07-29,0.864689096398782,0.0271133740416042
"2898",2898,"00187294E7","202","WEIGHT_2",6.1,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.10633914191611,"20",2021-08-30,0.92515414810267,0.0336622083726251
"2899",2899,"00187294E7","202","WEIGHT_3",6.2,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.00956645634032,"20",2021-09-29,0.841655379650572,0.0038516245300575
"2900",2900,"00187294E7","202","WEIGHT_4",15.3,"LENGTH_4",114,"T4","2021-11-04","Day_in_Exp_T4",98,1.03270641978908,"20",2021-11-04,0.839730571320187,-0.0594573788513508
"2901",2901,"00187294E7","202","WEIGHT_5",29.8,"LENGTH_5",144,"T5","2021-12-09","Day_in_Exp_T5",133,0.997995970507544,"20",2021-12-09,0.795550908377322,-0.0880571895352575
"2902",2902,"00187294E7","202","WEIGHT_6",31.3,"LENGTH_6",149,"T6","2022-01-06","Day_in_Exp_T6",161,0.946205639808836,"20",2022-01-06,0.752081142629191,-0.120760190535565
"2904",2904,"00187294E7","202","WEIGHT_8",63.6,"LENGTH_8",180,"T8","2022-03-30","Day_in_Exp_T8",244,1.09053497942387,"20",2022-03-30,0.852985085182254,-0.0131032604149155
"2905",2905,"00187294E9","201","WEIGHT_1",2.8,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.068115234375,"20",2021-07-29,0.91220576292912,0.00981690483295783
"2906",2906,"00187294E9","201","WEIGHT_2",5.2,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.18457501093454,"20",2021-08-30,0.99699598977404,0.0406909143050111
"2907",2907,"00187294E9","201","WEIGHT_3",9.5,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.10803324099723,"20",2021-09-29,0.915053071173189,0.0124361803136913
"2908",2908,"00187294E9","201","WEIGHT_4",22.2,"LENGTH_4",124,"T4","2021-11-04","Day_in_Exp_T4",98,1.16436171998254,"20",2021-11-04,0.940041605865478,-0.0239594800450434
"2909",2909,"00187294E9","201","WEIGHT_5",37.5,"LENGTH_5",150,"T5","2021-12-09","Day_in_Exp_T5",133,1.11111111111111,"20",2021-12-09,0.882652455104084,-0.0657687785474788
"2913",2913,"00187294EA","201","WEIGHT_1",3.8,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.10787172011662,"20",2021-07-29,0.938979570078737,0.00774494508286516
"2914",2914,"00187294EA","201","WEIGHT_2",10.8,"LENGTH_2",96,"T2","2021-08-30","Day_in_Exp_T2",20,1.220703125,"20",2021-08-30,1.00720297887759,0.0220521365088547
"2915",2915,"00187294EA","201","WEIGHT_3",17.7,"LENGTH_3",115,"T3","2021-09-29","Day_in_Exp_T3",62,1.16380373140462,"20",2021-09-29,0.94562823015971,0.0141655724005021
"2916",2916,"00187294EA","201","WEIGHT_4",31.1,"LENGTH_4",135,"T4","2021-11-04","Day_in_Exp_T4",98,1.26403495402124,"20",2021-11-04,1.01316624725509,0.0203193944448598
"2917",2917,"00187294EA","201","WEIGHT_5",57.1,"LENGTH_5",168,"T5","2021-12-09","Day_in_Exp_T5",133,1.20422673037469,"20",2021-12-09,0.947451470390623,-0.0298155301606498
"2918",2918,"00187294EA","201","WEIGHT_6",69.5,"LENGTH_6",179,"T6","2022-01-06","Day_in_Exp_T6",161,1.21178538879742,"20",2022-01-06,0.948272604501076,-0.0182276313023736
"2920",2920,"00187294EA","201","WEIGHT_8",114.9,"LENGTH_8",207,"T8","2022-03-30","Day_in_Exp_T8",244,1.2954152110157,"20",2022-03-30,1.0012707121772,0.041523463941332
"2921",2921,"00187294ED","151","WEIGHT_1",1.3,"LENGTH_1",49,"T1","2021-07-29","Day_in_Exp_T1",0,1.10498176780083,"15",2021-07-29,0.965358101030359,0.0513526073127338
"2922",2922,"00187294ED","151","WEIGHT_2",3.3,"LENGTH_2",67,"T2","2021-08-30","Day_in_Exp_T2",20,1.0972094306813,"15",2021-08-30,0.933411556489891,0.0313320994948736
"2923",2923,"00187294ED","151","WEIGHT_3",7.8,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,1.03507167871375,"15",2021-09-29,0.857930104555755,-0.0474106877986483
"2924",2924,"00187294ED","151","WEIGHT_4",15.6,"LENGTH_4",114,"T4","2021-11-04","Day_in_Exp_T4",98,1.05295556527515,"15",2021-11-04,0.85619587664019,-0.0538663348137579
"2929",2929,"00187294F0","152","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,-0.0302368848754259
"2930",2930,"00187294F0","152","WEIGHT_2",4.4,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.04296296296296,"15",2021-08-30,0.878797229157725,-0.0141470501582455
"2931",2931,"00187294F0","152","WEIGHT_3",10.5,"LENGTH_3",100,"T3","2021-09-29","Day_in_Exp_T3",62,1.05,"15",2021-09-29,0.863354782444425,-0.0328508322309311
"2932",2932,"00187294F0","152","WEIGHT_4",21.5,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.1008,"15",2021-11-04,0.888118812953369,-0.0128082208215312
"2933",2933,"00187294F0","152","WEIGHT_5",42.5,"LENGTH_5",152,"T5","2021-12-09","Day_in_Exp_T5",133,1.21020283569033,"15",2021-12-09,0.960287910218442,0.0569842073432841
"2934",2934,"00187294F0","152","WEIGHT_6",61.3,"LENGTH_6",172,"T6","2022-01-06","Day_in_Exp_T6",161,1.20468952419284,"15",2022-01-06,0.945921759365346,0.0525588597130691
"2936",2936,"00187294F0","152","WEIGHT_8",147.8,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.06915509259259,"15",2022-03-30,0.816061244646032,-0.0648674951809214
"2937",2937,"00187294F1","202","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"20",2021-07-29,0.934530624268352,-0.0259484951901396
"2938",2938,"00187294F1","202","WEIGHT_2",4.3,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.2536443148688,"20",2021-08-30,1.06252951351015,0.048134176678791
"2939",2939,"00187294F1","202","WEIGHT_3",4.8,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,1.18453003770754,"20",2021-09-29,0.999220607138227,0.0385134549163995
"2940",2940,"00187294F1","202","WEIGHT_4",11.9,"LENGTH_4",99,"T4","2021-11-04","Day_in_Exp_T4",98,1.22642608103275,"20",2021-11-04,1.00928167033406,-0.0128096769387911
"2941",2941,"00187294F1","202","WEIGHT_5",25.9,"LENGTH_5",126,"T5","2021-12-09","Day_in_Exp_T5",133,1.29475658576188,"20",2021-12-09,1.04389455524349,0.0373830602295984
"2942",2942,"00187294F1","202","WEIGHT_6",30.2,"LENGTH_6",136,"T6","2022-01-06","Day_in_Exp_T6",161,1.20057754935884,"20",2022-01-06,0.961699545138633,-0.0340451851274363
"2944",2944,"00187294F1","202","WEIGHT_8",103.2,"LENGTH_8",195,"T8","2022-03-30","Day_in_Exp_T8",244,1.39179689475547,"20",2022-03-30,1.0812420349894,0.0922502922909149
"2945",2945,"00187294F3","152","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"15",2021-07-29,0.944784540176588,0.0060454503972649
"2946",2946,"00187294F3","152","WEIGHT_2",6.7,"LENGTH_2",84,"T2","2021-08-30","Day_in_Exp_T2",20,1.1304124824533,"15",2021-08-30,0.943350763325673,0.0165377102689568
"2947",2947,"00187294F3","152","WEIGHT_3",18.1,"LENGTH_3",116,"T3","2021-09-29","Day_in_Exp_T3",62,1.15959038910984,"15",2021-09-29,0.941511606382941,0.0114372179668391
"2948",2948,"00187294F3","152","WEIGHT_4",41.4,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.20245684588599,"15",2021-11-04,0.954676997840419,0.0198811903247722
"2953",2953,"00187294F4","151","WEIGHT_1",3.7,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,1.03377655338897,"15",2021-07-29,0.875124249613205,0.0125991786831976
"2954",2954,"00187294F4","151","WEIGHT_2",7.1,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.00713648401561,"15",2021-08-30,0.836354076816796,-0.014244957390605
"2955",2955,"00187294F4","151","WEIGHT_3",14.3,"LENGTH_3",112,"T3","2021-09-29","Day_in_Exp_T3",62,1.01784575437318,"15",2021-09-29,0.828892934138274,-0.0249674354285123
"2956",2956,"00187294F4","151","WEIGHT_4",30.8,"LENGTH_4",143,"T4","2021-11-04","Day_in_Exp_T4",98,1.05327700809142,"15",2021-11-04,0.840115584095123,-0.0184662045712074
"2957",2957,"00187294F4","151","WEIGHT_5",54.2,"LENGTH_5",172,"T5","2021-12-09","Day_in_Exp_T5",133,1.06515778484913,"15",2021-12-09,0.836361490336081,-0.0245969674305074
"2958",2958,"00187294F4","151","WEIGHT_6",75.2,"LENGTH_6",193,"T6","2022-01-06","Day_in_Exp_T6",161,1.04603427125421,"15",2022-01-06,0.813342642329787,-0.0376750122139208
"2960",2960,"00187294F4","151","WEIGHT_8",159.5,"LENGTH_8",250,"T8","2022-03-30","Day_in_Exp_T8",244,1.0208,"15",2022-03-30,0.776454051885027,-0.0621294428333564
"2961",2961,"00187294F6","202","WEIGHT_1",3.8,"LENGTH_1",72,"T1","2021-07-29","Day_in_Exp_T1",0,1.01808984910837,"20",2021-07-29,0.860820983992124,-0.0292616534956335
"2962",2962,"00187294F6","202","WEIGHT_2",6.8,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.10726643598616,"20",2021-08-30,0.923105900261917,-0.0208929545987068
"2963",2963,"00187294F6","202","WEIGHT_3",11.3,"LENGTH_3",103,"T3","2021-09-29","Day_in_Exp_T3",62,1.03411007506907,"20",2021-09-29,0.848155739403817,-0.0421549308472764
"2964",2964,"00187294F6","202","WEIGHT_4",28.1,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.22175612878092,"20",2021-11-04,0.981150754448002,0.0294558891458855
"2969",2969,"00187294F9","201","WEIGHT_1",3.4,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.03497925475406,"20",2021-07-29,0.878272879281805,-0.0128052008851399
"2970",2970,"00187294F9","201","WEIGHT_2",5.3,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.07496567208679,"20",2021-08-30,0.901771058606709,-0.0432232389331019
"2971",2971,"00187294F9","201","WEIGHT_3",10.8,"LENGTH_3",100,"T3","2021-09-29","Day_in_Exp_T3",62,1.08,"20",2021-09-29,0.888022061942837,-0.00328405098744333
"2972",2972,"00187294F9","201","WEIGHT_4",22,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.1264,"20",2021-11-04,0.908772738836006,-0.043917569145298
"2973",2973,"00187294F9","201","WEIGHT_5",46.1,"LENGTH_5",155,"T5","2021-12-09","Day_in_Exp_T5",133,1.23795777248162,"20",2021-12-09,0.980680718416692,0.0435702626943466
"2974",2974,"00187294F9","201","WEIGHT_6",59,"LENGTH_6",169,"T6","2022-01-06","Day_in_Exp_T6",161,1.22233964509472,"20",2022-01-06,0.961217187719385,0.0348734967448628
"2976",2976,"00187294F9","201","WEIGHT_8",106.1,"LENGTH_8",210,"T8","2022-03-30","Day_in_Exp_T8",244,1.14566461505237,"20",2022-03-30,0.884440985133557,-0.0351497182733791
"2977",2977,"00187294FA","201","WEIGHT_1",2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,0.973809396286865,"20",2021-07-29,0.837435832595625,-0.035712239802284
"2978",2978,"00187294FA","201","WEIGHT_2",4.2,"LENGTH_2",73,"T2","2021-08-30","Day_in_Exp_T2",20,1.0796443343093,"20",2021-08-30,0.91179722669527,-0.0152670630755053
"2979",2979,"00187294FA","201","WEIGHT_3",3.9,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,0.962430655637376,"20",2021-09-29,0.81186674329981,-0.0615093618614357
"2985",2985,"00187294FC","202","WEIGHT_1",2.6,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,0.9918212890625,"20",2021-07-29,0.847048208434183,-0.0169742920367355
"2986",2986,"00187294FC","202","WEIGHT_2",4.5,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.06666666666667,"20",2021-08-30,0.898769893456764,-0.0191688243870206
"2987",2987,"00187294FC","202","WEIGHT_3",3.9,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,0.962430655637376,"20",2021-09-29,0.81186674329981,-0.0523837899344445
"2988",2988,"00187294FC","202","WEIGHT_4",5.7,"LENGTH_4",82,"T4","2021-11-04","Day_in_Exp_T4",98,1.033792312938,"20",2021-11-04,0.864488302325446,-0.0611464259598317
"2989",2989,"00187294FC","202","WEIGHT_5",9.1,"LENGTH_5",94,"T5","2021-12-09","Day_in_Exp_T5",133,1.09561465185941,"20",2021-12-09,0.905611573304872,-0.00444330272144744
"2990",2990,"00187294FC","202","WEIGHT_6",13.3,"LENGTH_6",106,"T6","2022-01-06","Day_in_Exp_T6",161,1.11669364643296,"20",2022-01-06,0.913656706944927,0.0143685956664307
"2992",2992,"00187294FC","202","WEIGHT_8",24.4,"LENGTH_8",130,"T8","2022-03-30","Day_in_Exp_T8",244,1.1106053709604,"20",2022-03-30,0.893047552287308,0.000512428576397994
"2993",2993,"00187294FD","201","WEIGHT_1",2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,0.973809396286865,"20",2021-07-29,0.837435832595625,-0.05414711303099
"2994",2994,"00187294FD","201","WEIGHT_2",4.2,"LENGTH_2",72,"T2","2021-08-30","Day_in_Exp_T2",20,1.12525720164609,"20",2021-08-30,0.95143371914919,0.00593455614970817
"2995",2995,"00187294FD","201","WEIGHT_3",6,"LENGTH_3",82,"T3","2021-09-29","Day_in_Exp_T3",62,1.08820243467158,"20",2021-09-29,0.909987686658364,0.0181767082684126
"2996",2996,"00187294FD","201","WEIGHT_4",14.8,"LENGTH_4",109,"T4","2021-11-04","Day_in_Exp_T4",98,1.14283155049037,"20",2021-11-04,0.932826702112194,-0.0203684713287801
"2997",2997,"00187294FD","201","WEIGHT_5",28.6,"LENGTH_5",134,"T5","2021-12-09","Day_in_Exp_T5",133,1.18864354990474,"20",2021-12-09,0.953339812864881,0.0157244916828648
"2998",2998,"00187294FD","201","WEIGHT_6",41.2,"LENGTH_6",151,"T6","2022-01-06","Day_in_Exp_T6",161,1.19664787561601,"20",2022-01-06,0.950065031667277,0.0232164752330835
"3000",3000,"00187294FD","201","WEIGHT_8",65.1,"LENGTH_8",180,"T8","2022-03-30","Day_in_Exp_T8",244,1.11625514403292,"20",2022-03-30,0.873102657945987,-0.0469929109206202
"3001",3001,"0018729504","202","WEIGHT_1",1.9,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,0.973799663782853,"20",2021-07-29,0.838645152074227,-0.0600707786161945
"3002",3002,"0018729504","202","WEIGHT_2",4,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.16618075801749,"20",2021-08-30,0.988399547451302,0.0357673993880144
"3003",3003,"0018729504","202","WEIGHT_3",5.4,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.0546875,"20",2021-09-29,0.883814556095102,-0.015129407358655
"3004",3004,"0018729504","202","WEIGHT_4",16.6,"LENGTH_4",112,"T4","2021-11-04","Day_in_Exp_T4",98,1.18155521137026,"20",2021-11-04,0.962211378090584,0.00188321958580351
"3009",3009,"0018729505","151","WEIGHT_1",2.8,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,0.973926593761305,"15",2021-07-29,0.829592830603868,-0.0665166487233516
"3010",3010,"0018729505","151","WEIGHT_2",5.8,"LENGTH_2",82,"T2","2021-08-24","Day_in_Exp_T2",20,1.05192902018253,"15",2021-08-24,0.879654763769752,-0.00452867883486063
"3017",3017,"0018729507","151","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,-0.0477470274349533
"3018",3018,"0018729507","151","WEIGHT_2",6.2,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.12447584916063,"15",2021-08-30,0.940320609546976,0.0298661876714783
"3019",3019,"0018729507","151","WEIGHT_3",15.3,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.14951164537941,"15",2021-09-29,0.937551206655676,0.0238354494207925
"3025",3025,"0018729509","201","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"20",2021-07-29,0.926923589134672,-0.0590707816169209
"3026",3026,"0018729509","201","WEIGHT_2",4,"LENGTH_2",69,"T2","2021-08-30","Day_in_Exp_T2",20,1.21762265265183,"20",2021-08-30,1.03326221091977,-0.0066483772046888
"3027",3027,"0018729509","201","WEIGHT_3",7.6,"LENGTH_3",84,"T3","2021-09-29","Day_in_Exp_T3",62,1.28225893532016,"20",2021-09-29,1.07006952257838,0.0838471190634467
"3028",3028,"0018729509","201","WEIGHT_4",16.5,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.42533203757694,"20",2021-11-04,1.16711850931303,0.119511910747081
"3029",3029,"0018729509","201","WEIGHT_5",30.4,"LENGTH_5",130,"T5","2021-12-09","Day_in_Exp_T5",133,1.38370505234411,"20",2021-12-09,1.11264940940714,0.0806226631001443
"3033",3033,"001872950C","201","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"20",2021-07-29,0.934530624268352,0.0195653870226973
"3034",3034,"001872950C","201","WEIGHT_2",3.9,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.13702623906706,"20",2021-08-30,0.963689558765019,-0.00519189585350199
"3035",3035,"001872950C","201","WEIGHT_3",3.3,"LENGTH_3",70,"T3","2021-09-29","Day_in_Exp_T3",62,0.962099125364431,"20",2021-09-29,0.815429626647324,-0.099763643361667
"3036",3036,"001872950C","201","WEIGHT_4",6.5,"LENGTH_4",80,"T4","2021-11-04","Day_in_Exp_T4",98,1.26953125,"20",2021-11-04,1.06385085455892,0.0872733894989051
